Source path,Artifact ID,Group ID,Name,Description,Version,Parent project,Module count
src/test/resources-its/org/openrewrite/maven/RewriteRunIT/java_upgrade_project/pom.xml,java_upgrade_project,org.openrewrite.maven,RewriteRunIT#java_upgrade_project,,1.0,,
src/test/resources-its/org/openrewrite/maven/RewriteRunIT/lombok_jdk25_linkage_error/pom.xml,lombok_jdk25_linkage_error,org.openrewrite.maven,RewriteRunIT#lombok_jdk25_linkage_error,,1.0,,
src/test/resources-its/org/openrewrite/maven/RewriteRunIT/multi_main_source_sets_project/pom.xml,multi_main_source_sets_project,org.openrewrite.maven,,,1.0,,
src/test/resources-its/org/openrewrite/maven/RewriteRunIT/multi_module_project/a/pom.xml,a,,,,,,
src/test/resources-its/org/openrewrite/maven/RewriteRunIT/multi_module_project/b/pom.xml,b,,,,,,
src/test/resources-its/org/openrewrite/maven/RewriteRunIT/multi_module_project/pom.xml,multi_module_project,org.openrewrite.maven,,,1.0,,
src/test/resources-its/org/openrewrite/maven/RewriteRunIT/multi_module_resources/a/pom.xml,a,,,,,,
src/test/resources-its/org/openrewrite/maven/RewriteRunIT/multi_module_resources/pom.xml,multi_module_resources,org.openrewrite.maven,,,1.0,,
src/test/resources-its/org/openrewrite/maven/RewriteRunIT/multi_source_sets_project/pom.xml,multi_source_sets_project,org.openrewrite.maven,,,1.0,,
src/test/resources-its/org/openrewrite/maven/RewriteRunIT/plaintext_masks/pom.xml,single_project,org.openrewrite.maven,RewriteRunIT#plaintext_masks,,1.0,,
src/test/resources-its/org/openrewrite/maven/RewriteRunIT/recipe_project/pom.xml,recipe_project,org.openrewrite.maven,RewriteRunIT#recipe_project,,1.0,,
src/test/resources-its/org/openrewrite/maven/RewriteRunIT/single_project/pom.xml,single_project,org.openrewrite.maven,RewriteRunIT#single_project,,1.0,,
src/test/resources-its/org/openrewrite/maven/RewriteRunParallelIT/multi_module_project/a/pom.xml,a,,,,,,
src/test/resources-its/org/openrewrite/maven/RewriteRunParallelIT/multi_module_project/b/pom.xml,b,,,,,,
src/test/resources-its/org/openrewrite/maven/RewriteRunParallelIT/multi_module_project/pom.xml,multi_module_project,org.openrewrite.maven,,,1.0,,
src/test/resources-its/org/openrewrite/maven/RewriteTypeTableIT/typetable_default/pom.xml,typetable_default,org.openrewrite.maven,RewriteTypeTableIT#typetable_default,,1.0,,
